step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
274,CASH_OUT,54925.18,C1537991424,1596.0,0.0,C217967379,225088.89,280014.06,0,0
227,PAYMENT,10906.73,C511972001,324621.57,313714.84,M840403858,0.0,0.0,0,0
399,PAYMENT,3794.54,C393345556,194352.0,190557.46,M1220821174,0.0,0.0,0,0
488,TRANSFER,5363795.31,C46940943,5363795.31,0.0,C1142866922,0.0,0.0,1,0
254,CASH_OUT,241793.64,C87050727,44956.0,0.0,C378000724,32960.52,274754.16,0,0
356,PAYMENT,8715.38,C1973815230,155545.0,146829.62,M1626418896,0.0,0.0,0,0
235,TRANSFER,638487.85,C2102651625,638487.85,0.0,C1551811070,0.0,0.0,1,0
374,TRANSFER,338072.69,C597162727,0.0,0.0,C206185521,1296300.24,1634372.93,0,0
180,PAYMENT,34973.7,C761102792,0.0,0.0,M1292398115,0.0,0.0,0,0
203,CASH_IN,152182.51,C731371197,10807826.33,10960008.84,C1567226423,2270658.85,2118476.34,0,0
137,CASH_OUT,229834.65,C1452833653,19718.0,0.0,C902369824,0.0,229834.65,0,0
44,CASH_OUT,76600.2,C103606424,519656.0,443055.8,C214958057,209915.45,286515.64,0,0
38,CASH_IN,95836.16,C1370371482,1014690.39,1110526.55,C296811975,1501192.97,1405356.81,0,0
137,CASH_OUT,112384.19,C1792075495,0.0,0.0,C1605119786,213231.34,534202.77,0,0
260,CASH_IN,105965.47,C660087764,152239.0,258204.47,C365546656,0.0,0.0,0,0
17,CASH_OUT,150676.83,C661899042,0.0,0.0,C695189508,724735.67,875412.5,0,0
41,CASH_OUT,287670.65,C1934492547,0.0,0.0,C290208896,1280329.26,1567999.9,0,0
307,TRANSFER,212490.78,C1443455995,60580.0,0.0,C267982830,196563.05,409053.82,0,0
139,PAYMENT,24656.32,C853348559,30901.0,6244.68,M407943594,0.0,0.0,0,0
326,TRANSFER,1449191.34,C1718162689,92454.0,0.0,C1219475511,6056613.67,7505805.01,0,0
306,CASH_OUT,228842.62,C684819850,0.0,0.0,C1881287125,2024925.18,2253767.8,0,0
306,PAYMENT,4377.5,C625649382,0.0,0.0,M358425614,0.0,0.0,0,0
374,TRANSFER,335713.9,C1172379754,0.0,0.0,C2131033819,2979129.92,3314843.82,0,0
250,CASH_OUT,104284.27,C2021932388,0.0,0.0,C2027834756,1712046.64,1816330.91,0,0
11,CASH_IN,224187.13,C1212267615,5593674.94,5817862.07,C507046070,674200.67,450013.54,0,0
180,CASH_OUT,39640.79,C1595644267,0.0,0.0,C2089401263,1131912.89,1171553.68,0,0
39,PAYMENT,4991.7,C1529085970,56995.0,52003.3,M1855781306,0.0,0.0,0,0
227,PAYMENT,41903.89,C257220971,0.0,0.0,M2061285616,0.0,0.0,0,0
260,CASH_IN,336752.08,C1245261537,4467511.93,4804264.01,C1253030825,3470741.59,3133989.51,0,0
377,CASH_OUT,16377.0,C1109005909,0.0,0.0,C1181335335,152240.45,168617.45,0,0
148,TRANSFER,99168.97,C193359947,99168.97,0.0,C1492417626,0.0,0.0,1,0
307,CASH_IN,107734.39,C686038249,15478.0,123212.39,C418980455,0.0,0.0,0,0
395,CASH_IN,253661.63,C422589084,17341058.3,17594719.93,C250561071,311498.07,57836.44,0,0
431,TRANSFER,850431.07,C1864346254,0.0,0.0,C135121177,3725913.89,4576344.96,0,0
330,TRANSFER,675578.75,C1508039025,58782.93,0.0,C908581035,3083185.0,3758763.74,0,0
211,CASH_IN,65886.66,C1192781625,282026.77,347913.43,C1509838482,545340.08,479453.42,0,0
252,CASH_IN,155973.73,C1055260443,14577273.37,14733247.1,C768360930,2644709.27,2488735.54,0,0
434,TRANSFER,32671.88,C1710865809,32671.88,0.0,C1882736497,0.0,0.0,1,0
357,DEBIT,817.86,C1232961198,11289.0,10471.14,C1541295792,2462437.06,2463254.91,0,0
140,CASH_OUT,100061.67,C29617818,0.0,0.0,C158246075,1785433.91,1885495.58,0,0
134,CASH_OUT,401822.46,C553583830,0.0,0.0,C1149435896,2252200.66,2654023.12,0,0
311,PAYMENT,8698.63,C429151475,0.0,0.0,M99733657,0.0,0.0,0,0
282,CASH_OUT,371999.76,C442715011,103147.0,0.0,C342813689,61134.13,620985.07,0,0
236,CASH_OUT,7537.83,C1011943318,20599.0,13061.17,C413816791,21471.94,29009.77,0,0
229,CASH_OUT,26924.36,C1980591693,0.0,0.0,C1361631332,176017.6,202941.96,0,0
161,CASH_OUT,447160.48,C159469761,215496.86,0.0,C359184572,582028.2,1029188.68,0,0
45,PAYMENT,8391.77,C1362989615,35461.0,27069.23,M807952053,0.0,0.0,0,0
20,CASH_OUT,74371.23,C1989027891,20057.0,0.0,C949842936,1472763.67,1547134.9,0,0
184,CASH_IN,322991.29,C1394768274,1375214.4,1698205.69,C1740309821,3545538.32,3222547.03,0,0
158,PAYMENT,15037.81,C1153561594,197876.49,182838.68,M187974844,0.0,0.0,0,0
139,CASH_IN,24655.63,C1806521838,2769928.25,2794583.88,C2003355438,167818.74,143163.11,0,0
189,PAYMENT,7903.04,C2113206480,65597.0,57693.96,M1148374231,0.0,0.0,0,0
178,PAYMENT,5287.02,C1618401556,0.0,0.0,M573123911,0.0,0.0,0,0
331,PAYMENT,5436.51,C1622202555,107320.72,101884.22,M1560788551,0.0,0.0,0,0
259,CASH_IN,12409.55,C1433308413,106796.0,119205.55,C1575102270,410996.25,398586.71,0,0
9,CASH_IN,21971.93,C1664760757,12283.0,34254.93,C1865370526,130947.1,0.0,0,0
350,CASH_OUT,123049.36,C21136243,0.0,0.0,C8618049,6935340.01,7058389.37,0,0
329,CASH_OUT,201047.21,C16457559,3.0,0.0,C683458089,131913.77,542483.17,0,0
15,PAYMENT,24756.32,C435419379,0.0,0.0,M31092196,0.0,0.0,0,0
162,CASH_OUT,278113.9,C801483748,59663.0,0.0,C1055735979,2204257.89,2482371.79,0,0
379,PAYMENT,15447.16,C154579478,387.0,0.0,M985057261,0.0,0.0,0,0
37,TRANSFER,270186.08,C1616014826,0.0,0.0,C1199213870,363410.28,912802.79,0,0
401,CASH_OUT,335707.02,C206281904,88.0,0.0,C2004884090,404153.29,739860.31,0,0
547,CASH_IN,371057.58,C776568887,297667.05,668724.62,C6808506,1639261.94,1268204.36,0,0
576,PAYMENT,47610.7,C1923573356,0.0,0.0,M29633046,0.0,0.0,0,0
444,TRANSFER,1186725.39,C1047335023,1186725.39,0.0,C1970958530,0.0,0.0,1,0
505,PAYMENT,6589.08,C1657811593,489118.0,482528.92,M774673922,0.0,0.0,0,0
447,TRANSFER,3965182.83,C786548391,3965182.83,0.0,C1008141615,0.0,0.0,1,0
203,PAYMENT,8541.3,C222669187,0.0,0.0,M1937794561,0.0,0.0,0,0
547,TRANSFER,594471.04,C1886207550,594471.04,0.0,C1120946694,0.0,0.0,1,0
206,CASH_IN,480345.85,C1128491501,10365.0,490710.85,C1234779219,0.0,0.0,0,0
155,CASH_IN,127065.41,C1505493745,0.0,127065.41,C1492561089,0.0,0.0,0,0
156,CASH_OUT,80380.0,C1526264470,36073.0,0.0,C1871896868,2816382.51,2896762.51,0,0
590,CASH_OUT,30602.36,C962793806,0.0,0.0,C1096461796,1244204.79,1274807.15,0,0
378,PAYMENT,18491.63,C2068678106,17717.0,0.0,M497104718,0.0,0.0,0,0
396,TRANSFER,1547877.98,C211699118,1547877.98,0.0,C1804433464,0.0,0.0,1,0
162,CASH_IN,5443.12,C225302660,15057245.8,15062688.92,C2131119838,61276.97,55833.85,0,0
356,PAYMENT,3736.67,C1873657023,0.0,0.0,M346877020,0.0,0.0,0,0
232,PAYMENT,2517.34,C1465373063,24227.0,21709.66,M1150708286,0.0,0.0,0,0
17,CASH_OUT,42062.82,C897869440,340830.43,298767.61,C616721459,398931.35,678419.64,1,0
233,CASH_OUT,46780.4,C988398227,10907.0,0.0,C26334874,16744440.41,16791220.81,0,0
505,CASH_OUT,2251225.38,C811947733,2251225.38,0.0,C216058028,23722.5,2274947.89,1,0
326,CASH_IN,94952.42,C693152292,1723497.04,1818449.46,C1821828150,3929698.83,3834746.41,0,0
351,PAYMENT,12388.46,C947929950,25338.0,12949.54,M1923031920,0.0,0.0,0,0
373,CASH_OUT,148928.75,C375158980,0.0,0.0,C267026699,243137.09,392065.84,0,0
281,CASH_OUT,274573.77,C1803344428,0.0,0.0,C1887446125,5372265.47,5646839.24,0,0
348,CASH_OUT,255281.45,C1544276690,42993.0,0.0,C692532704,0.0,255281.45,0,0
155,PAYMENT,4916.66,C759926682,42735.0,37818.34,M1876045552,0.0,0.0,0,0
372,CASH_OUT,299172.82,C744892229,299172.82,0.0,C348424579,45633.0,269864.44,1,0
234,PAYMENT,12803.94,C146713897,156.0,0.0,M1186569615,0.0,0.0,0,0
131,PAYMENT,12450.66,C1992061850,26855.0,14404.34,M1533186488,0.0,0.0,0,0
160,PAYMENT,26965.8,C1815024291,5990.1,0.0,M192824319,0.0,0.0,0,0
203,CASH_OUT,372859.23,C429450287,829.0,0.0,C1351969477,682944.35,1055803.58,0,0
10,PAYMENT,7523.76,C1258717589,0.0,0.0,M1938461104,0.0,0.0,0,0
399,PAYMENT,19702.53,C1028601111,242055.98,222353.45,M202778494,0.0,0.0,0,0
129,CASH_OUT,38164.07,C70382233,10815.0,0.0,C65353523,6599.29,44763.36,0,0
212,CASH_OUT,190278.57,C1019952924,0.0,0.0,C477320444,602391.9,792670.47,0,0
303,CASH_IN,69414.87,C677169910,10030221.8,10099636.67,C714361422,463686.58,394271.71,0,0
132,CASH_IN,264644.58,C2140279312,2425184.33,2689828.91,C2009082452,2749027.35,2402778.94,0,0
34,CASH_IN,169244.44,C1255245264,6150649.6,6319894.04,C958958633,553494.17,384249.73,0,0
705,TRANSFER,353090.95,C1206624869,353090.95,0.0,C1470734212,0.0,0.0,1,0
341,CASH_OUT,3011102.29,C1012799951,3011102.29,0.0,C1240944469,1925102.87,4936205.15,1,0
324,CASH_IN,465666.9,C1291935003,2262415.52,2728082.42,C857279060,1435842.17,970175.27,0,0
351,CASH_OUT,118967.78,C1858472153,99728.0,0.0,C564502138,20159.54,139127.32,0,0
255,PAYMENT,8302.34,C452901694,26799.0,18496.66,M666531024,0.0,0.0,0,0
281,CASH_IN,108132.99,C569796386,754921.27,863054.26,C1592887031,821152.83,713019.84,0,0
401,PAYMENT,51465.2,C100260363,201126.0,149660.8,M1819907244,0.0,0.0,0,0
187,CASH_OUT,33614.88,C486697984,20927.0,0.0,C545855560,547350.89,580965.77,0,0
200,CASH_OUT,5393290.34,C9591597,5393290.34,0.0,C686224839,838712.9,6232003.24,1,0
16,PAYMENT,39220.3,C1619664184,0.0,0.0,M1293767237,0.0,0.0,0,0
219,CASH_OUT,36371.77,C1856113052,36371.77,0.0,C1590703895,0.0,36371.77,1,0
393,CASH_OUT,126141.55,C1779272322,0.0,0.0,C982678865,350136.95,476278.5,0,0
661,TRANSFER,79634.2,C2030406622,0.0,0.0,C199512387,1131122.78,1210756.98,0,0
12,CASH_IN,551581.64,C723844085,7858804.22,8410385.85,C1246828889,647955.83,96374.19,0,0
301,CASH_IN,17819.56,C12854653,1747394.89,1765214.45,C307993793,108964.35,91144.79,0,0
19,TRANSFER,578281.07,C597329017,22467.8,0.0,C1487352424,5743753.51,6619478.61,0,0
187,CASH_OUT,210165.42,C1790964395,0.0,0.0,C1926851964,260685.19,470850.61,0,0
638,TRANSFER,345116.0,C1604322396,345116.0,0.0,C1515434916,0.0,0.0,1,0
147,TRANSFER,1137603.28,C318449492,1137603.28,0.0,C632641086,0.0,0.0,1,0
251,CASH_OUT,374717.04,C1183303841,302032.0,0.0,C1387795103,222937.64,597654.69,0,0
210,CASH_OUT,263155.75,C97675620,0.0,0.0,C910572468,472333.19,735488.94,0,0
19,CASH_IN,22547.61,C611907934,21754.0,44301.61,C1843206343,113443.71,90896.1,0,0
396,TRANSFER,1177735.61,C1926886805,0.0,0.0,C393106626,1556019.97,2733755.59,0,0
41,CASH_OUT,59193.11,C708840818,18891.0,0.0,C664404443,432340.01,491533.12,0,0
395,CASH_IN,234779.72,C1388244328,567296.33,802076.04,C1918024021,292350.98,57571.26,0,0
33,CASH_OUT,93998.55,C319622139,0.0,0.0,C1195875642,325041.19,419039.74,0,0
16,PAYMENT,9502.94,C162620448,14688.0,5185.06,M892510810,0.0,0.0,0,0
402,CASH_OUT,87466.56,C1690007883,0.0,0.0,C1067642030,5626491.78,5713958.34,0,0
155,PAYMENT,27892.0,C306698869,485671.0,457779.0,M148046776,0.0,0.0,0,0
258,CASH_IN,72891.43,C2051971912,286.0,73177.43,C2059369168,1092623.09,1019731.66,0,0
160,PAYMENT,5811.83,C1107229881,313716.79,307904.96,M851856144,0.0,0.0,0,0
405,PAYMENT,8541.66,C1210912112,253918.0,245376.34,M962617048,0.0,0.0,0,0
399,CASH_IN,174712.33,C2110129031,40112.0,214824.33,C416842090,365540.14,190827.81,0,0
18,PAYMENT,4881.47,C1217625250,30022.58,25141.11,M1083153360,0.0,0.0,0,0
500,CASH_OUT,52353.54,C1159997332,0.0,0.0,C756919915,138688.41,191041.95,0,0
405,CASH_OUT,9708.54,C381133053,5263.0,0.0,C41094821,1093367.27,1103075.81,0,0
322,CASH_OUT,277798.35,C1585975626,0.0,0.0,C841091753,4971381.98,5249180.34,0,0
569,TRANSFER,2561698.04,C639357129,2561698.04,0.0,C179997962,0.0,0.0,1,0
493,PAYMENT,24620.76,C2050627315,49748.0,25127.24,M1509699736,0.0,0.0,0,0
182,CASH_OUT,34915.28,C612970241,51056.0,16140.72,C127653254,158049.13,192964.41,0,0
236,CASH_IN,61817.28,C1458604818,2665208.06,2727025.33,C1410566457,6877290.77,6815473.49,0,0
43,CASH_OUT,366380.53,C888868993,0.0,0.0,C1523624409,1304972.0,1671352.53,0,0
21,CASH_OUT,227926.61,C1038797906,0.0,0.0,C847921466,1731003.01,1958929.61,0,0
350,PAYMENT,15628.42,C1457111977,0.0,0.0,M722844167,0.0,0.0,0,0
178,CASH_OUT,490509.93,C1269959185,0.0,0.0,C1462099807,1143013.22,1633523.15,0,0
380,CASH_IN,62637.51,C481500771,230503.85,293141.36,C294344926,73460.42,10822.91,0,0
608,PAYMENT,5746.99,C1141712244,0.0,0.0,M282278947,0.0,0.0,0,0
645,TRANSFER,1576874.04,C1859428383,1576874.04,0.0,C1424577358,0.0,0.0,1,0
388,CASH_OUT,960196.16,C1274686397,960196.16,0.0,C37274992,932.39,961128.55,1,0
509,CASH_OUT,1994525.04,C2059919874,1994525.04,0.0,C1227773063,337740.87,2332265.91,1,0
139,CASH_OUT,195940.67,C1846077789,0.0,0.0,C1239555598,1687076.09,1804614.07,0,0
709,PAYMENT,47729.15,C1431927902,155560.0,107830.85,M2017612385,0.0,0.0,0,0
323,CASH_OUT,363660.15,C994901703,0.0,0.0,C1133007712,3406607.72,3770267.87,0,0
230,CASH_OUT,250550.99,C370787517,30908.0,0.0,C1384834731,1328304.49,1578855.48,0,0
613,CASH_OUT,51589.87,C1614655562,51589.87,0.0,C644722343,0.0,51589.87,1,0
282,PAYMENT,5281.99,C1729958669,85805.02,80523.03,M636180841,0.0,0.0,0,0
188,PAYMENT,51.71,C1703764520,181939.7,181887.99,M920231549,0.0,0.0,0,0
7,CASH_OUT,109261.69,C1615923089,0.0,0.0,C7881234,226519.0,48630.5,0,0
346,PAYMENT,4501.64,C1992030872,0.0,0.0,M1115798744,0.0,0.0,0,0
64,CASH_OUT,436317.49,C1101896788,436317.49,0.0,C641861955,195948.3,632265.79,1,0
20,PAYMENT,6804.78,C181362695,25693.0,18888.22,M1491178480,0.0,0.0,0,0
164,CASH_OUT,202048.46,C1762160542,41311.0,0.0,C2119962404,206695.51,408743.97,0,0
256,CASH_IN,99981.92,C1168648620,12012934.57,12112916.5,C1405664343,205061.48,105079.56,0,0
377,PAYMENT,13487.89,C755019306,0.0,0.0,M1127772080,0.0,0.0,0,0
43,CASH_OUT,125343.7,C1823239441,1674.0,0.0,C1956889683,0.0,125343.7,0,0
212,CASH_OUT,394576.33,C399200684,0.0,0.0,C895481638,2415731.93,2810308.26,0,0
159,CASH_IN,168873.83,C710826488,12861766.93,13030640.76,C1379164003,866180.57,697306.74,0,0
156,CASH_OUT,89742.6,C944395500,23841.49,0.0,C946004044,429496.92,324431.18,0,0
9,PAYMENT,7380.4,C876255645,118610.28,111229.88,M1170885269,0.0,0.0,0,0
345,PAYMENT,18749.91,C1037364370,142.0,0.0,M1337194908,0.0,0.0,0,0
254,PAYMENT,8117.64,C1054147529,0.0,0.0,M1384323667,0.0,0.0,0,0
48,CASH_OUT,348948.29,C1653089343,0.0,0.0,C647560268,2248273.53,2597221.82,0,0
276,CASH_OUT,107925.58,C494267288,0.0,0.0,C1370615612,2629504.27,2737429.85,0,0
309,CASH_IN,170237.0,C470834411,1364029.46,1534266.46,C2104098790,1919640.87,1749403.87,0,0
164,TRANSFER,530763.64,C1328551325,0.0,0.0,C1119127415,1586287.68,2117051.31,0,0
46,PAYMENT,35398.27,C1953267857,0.0,0.0,M753084133,0.0,0.0,0,0
355,CASH_IN,23383.25,C89179430,3646060.52,3669443.76,C742736327,308446.01,285062.77,0,0
187,PAYMENT,6221.01,C395668848,15518.82,9297.8,M1086912577,0.0,0.0,0,0
328,TRANSFER,1140770.46,C1955895027,0.0,0.0,C1505183539,10000000.0,11140770.46,0,0
299,CASH_OUT,119137.28,C2030741831,30490.0,0.0,C656910496,534277.14,653414.42,0,0
8,PAYMENT,14995.2,C463382981,214129.24,199134.05,M1246864599,0.0,0.0,0,0
401,CASH_OUT,30467.69,C1055328635,30467.69,0.0,C1732514770,625616.25,656083.94,1,0
301,CASH_OUT,67280.38,C158196694,30026.0,0.0,C356995012,1138963.14,1206243.52,0,0
34,CASH_OUT,402916.0,C2024604115,0.0,0.0,C213729918,651689.58,1054605.58,0,0
155,CASH_IN,216862.3,C1371496858,2673860.17,2890722.47,C2095957694,407992.25,13120.02,0,0
155,CASH_OUT,174888.75,C1335023234,146007.0,0.0,C1809205982,2060856.42,2235745.17,0,0
211,PAYMENT,10151.37,C1651529735,0.0,0.0,M614405038,0.0,0.0,0,0
155,CASH_OUT,151515.13,C1469462442,0.0,0.0,C757190272,11979699.94,12131215.06,0,0
450,TRANSFER,9228514.1,C920327149,9228514.1,0.0,C118210084,0.0,0.0,1,0
565,CASH_OUT,112958.85,C507000655,112958.85,0.0,C2018087281,159150.2,272109.05,1,0
36,CASH_OUT,220634.36,C1778339517,0.0,0.0,C1244839062,447085.09,1009289.16,0,0
187,CASH_OUT,178646.43,C1147554735,0.0,0.0,C2134509759,687824.1,866470.53,0,0
406,CASH_IN,301991.69,C704887294,2069.0,304060.69,C1584851655,1318198.97,1016207.28,0,0
38,CASH_OUT,14970.79,C208358563,0.0,0.0,C689790722,570704.03,585674.82,0,0
413,CASH_OUT,786278.72,C1989836964,786278.72,0.0,C457437086,0.0,786278.72,1,0
10,CASH_OUT,370095.54,C1044160456,0.0,0.0,C1657769946,3358174.67,3838968.04,0,0
251,CASH_OUT,174151.33,C666784700,246420.0,72268.67,C1169504702,840625.48,1477717.71,0,0
355,CASH_IN,206567.73,C695338346,0.0,206567.73,C2115715605,2642950.72,2436383.0,0,0
13,PAYMENT,1118.03,C1785894021,653799.87,652681.84,M959744437,0.0,0.0,0,0
37,CASH_IN,84211.1,C523212228,2904239.42,2904239.42,C411362965,2904239.42,7542898.25,0,0
599,TRANSFER,245299.34,C773401793,10470.0,0.0,C221090297,98594.03,343893.37,0,0
375,CASH_IN,61482.58,C1830575740,1006725.93,1068208.51,C913161620,1879775.39,1818292.81,0,0
377,PAYMENT,41000.5,C623768973,13332.0,0.0,M1051571393,0.0,0.0,0,0
12,PAYMENT,14253.88,C201389047,0.0,0.0,M2044956605,0.0,0.0,0,0
306,CASH_IN,9264.29,C1943915567,49562.0,58826.29,C1069626472,0.0,0.0,0,0
608,PAYMENT,3493.81,C914897482,0.0,0.0,M1148762363,0.0,0.0,0,0
307,CASH_OUT,334075.08,C717295558,50363.0,0.0,C1902259983,458033.87,792108.95,0,0
143,PAYMENT,5132.19,C683418219,92549.0,87416.81,M274538452,0.0,0.0,0,0
331,PAYMENT,14544.64,C1578625166,40892.0,26347.36,M732891595,0.0,0.0,0,0
250,CASH_OUT,247607.7,C1139858972,0.0,0.0,C657191163,781954.29,1029561.99,0,0
135,CASH_IN,546185.45,C912801575,19966.0,566151.45,C154864612,0.0,0.0,0,0
186,CASH_OUT,3261.94,C1120456212,0.0,0.0,C1059001121,3416609.02,3482706.52,0,0
184,CASH_IN,104337.85,C1546641625,2168296.6,2272634.44,C1106627229,1517574.34,1413236.5,0,0
345,CASH_OUT,384019.2,C1082651093,148.0,0.0,C1406854912,622645.71,1006664.91,0,0
260,PAYMENT,8645.25,C1402695608,406514.0,397868.75,M1152731774,0.0,0.0,0,0
162,CASH_IN,237425.31,C1186436395,105194.0,342619.31,C966783620,252095.87,14670.56,0,0
404,CASH_OUT,540914.12,C974262278,540914.12,0.0,C1711489125,36447.52,577361.64,1,0
325,TRANSFER,84785.55,C380937030,0.0,0.0,C2136196480,730282.92,815068.47,0,0
217,PAYMENT,1458.92,C1636442405,10570.0,9111.08,M200298946,0.0,0.0,0,0
157,TRANSFER,939518.05,C1875095816,939518.05,0.0,C1637949405,0.0,0.0,1,0
380,TRANSFER,259820.39,C160893459,259820.39,0.0,C1231260699,0.0,0.0,1,0
10,CASH_IN,176310.02,C1986781271,4069007.37,4245317.39,C797606633,316847.33,140537.31,0,0
17,CASH_OUT,87900.38,C142435613,107276.0,19375.62,C254495834,959.0,390694.89,0,0
251,PAYMENT,66560.37,C1384512453,11909.0,0.0,M274780293,0.0,0.0,0,0
250,TRANSFER,1922407.1,C720295075,26046.0,0.0,C811463748,508090.9,2430498.0,0,0
44,PAYMENT,14519.09,C1273107547,112402.25,97883.17,M1089274296,0.0,0.0,0,0
20,PAYMENT,1671.56,C1428428717,0.0,0.0,M194030508,0.0,0.0,0,0
616,TRANSFER,89846.18,C1846352477,89846.18,0.0,C729066326,0.0,0.0,1,0
188,TRANSFER,283844.12,C42475428,0.0,0.0,C1976045769,448250.53,732094.65,0,0
304,CASH_OUT,371755.91,C803067442,107892.0,0.0,C1709437931,10205298.48,10577054.38,0,0
404,TRANSFER,10000000.0,C2023224715,12754759.04,2754759.04,C1730830963,0.0,0.0,1,0
595,CASH_OUT,236914.77,C1406154490,236914.77,0.0,C423223953,175716.84,412631.61,1,0
372,PAYMENT,15928.87,C614021228,0.0,0.0,M1179138097,0.0,0.0,0,0
137,CASH_OUT,176326.15,C466077273,14518.0,0.0,C852233835,0.0,176326.15,0,0
335,CASH_IN,78279.53,C374235747,772645.47,850925.0,C2107788730,81933.43,3653.9,0,0
385,PAYMENT,4264.56,C154015503,11050.0,6785.44,M2101109901,0.0,0.0,0,0
348,CASH_OUT,43986.38,C1403024294,438232.0,394245.62,C957516654,2834640.26,2878626.64,0,0
192,PAYMENT,8318.46,C202716339,197.0,0.0,M305324619,0.0,0.0,0,0
298,TRANSFER,2880496.09,C1370014119,7854.0,0.0,C471762550,713661.58,3594157.67,0,0
9,PAYMENT,7275.97,C381743196,375.0,0.0,M391162399,0.0,0.0,0,0
20,CASH_IN,183235.48,C179205882,2109776.78,2293012.26,C58599080,422533.82,239298.34,0,0
688,CASH_OUT,971133.63,C184826905,971133.63,0.0,C1167936377,6456.76,977590.39,1,0
43,CASH_OUT,308193.32,C1005839212,5034.0,0.0,C1079713311,188952.31,497145.63,0,0
379,CASH_OUT,90848.77,C1522399780,0.0,0.0,C1685522840,669735.99,760584.76,0,0
41,PAYMENT,8100.1,C779719466,31008.0,22907.9,M109385987,0.0,0.0,0,0
43,TRANSFER,325306.24,C1157167192,0.0,0.0,C1946503808,2787600.95,3112907.19,0,0
204,CASH_OUT,177266.41,C2116292909,178016.0,749.59,C81159614,0.0,177266.41,0,0
240,CASH_OUT,74076.48,C2046853066,74076.48,0.0,C755568300,526175.63,600252.1,1,0
225,CASH_OUT,418590.18,C963641853,27329.0,0.0,C2141549007,553118.58,971708.76,0,0
164,CASH_OUT,181934.73,C346327488,21731.0,0.0,C1577063118,909435.98,1091370.71,0,0
161,CASH_IN,243394.28,C244503468,3309414.76,3552809.04,C1885759044,662246.57,418852.3,0,0
168,PAYMENT,14990.93,C890056965,17317.78,2326.84,M506979333,0.0,0.0,0,0
381,CASH_IN,17371.02,C1904885361,95796.0,113167.02,C543448451,0.0,0.0,0,0
388,CASH_OUT,4348.62,C638868396,4348.62,0.0,C235328980,4139226.47,4143575.09,1,0
210,PAYMENT,7772.38,C1624478500,11177.0,3404.62,M791924481,0.0,0.0,0,0
404,CASH_OUT,147291.94,C634521874,0.0,0.0,C30663002,151943.6,299235.54,0,0
228,PAYMENT,12175.41,C424788582,277713.76,265538.35,M97592894,0.0,0.0,0,0
94,CASH_OUT,176496.57,C250811536,50981.0,0.0,C380047109,1000149.01,1176645.59,0,0
258,CASH_OUT,170488.53,C123360497,8228.0,0.0,C665121608,238720.14,409208.67,0,0
300,CASH_OUT,264468.72,C524665173,1887.0,0.0,C1736939339,0.0,264468.72,0,0
530,TRANSFER,148680.12,C1687894218,148680.12,0.0,C943795253,0.0,0.0,1,0
